product_id,product_name,product_category,freshness_score,days_since_arrival,days_to_expiry,original_price,cost_price,current_stock,daily_sales,demand_level,season,discount_percentage,remaining_shelf_life_days
200001,Yogurt,Dairy,0.57,6,2,67.72,52.46,304,48,low,winter,20.6,2
200002,Bread,Bakery,0.99,0,3,41.61,31.33,243,41,low,rainy,17.3,3
200003,Grapes,Fruits,0.91,1,5,121.44,93.25,60,19,medium,summer,1.8,5
200004,Minced Meat,Meat,0.77,3,1,318.38,205.04,174,20,low,rainy,31.8,1
200005,Apple,Fruits,0.84,3,9,153.66,110.23,130,36,medium,rainy,1.5,9
200006,Bread,Bakery,0.9,3,2,42.12,28.65,205,41,low,winter,20.8,2
200007,Yogurt,Dairy,0.94,1,6,74.56,59.21,115,40,medium,winter,4.1,6
200008,Mutton,Meat,0.71,5,1,791.42,495.55,125,39,medium,rainy,15.3,1
200009,Minced Meat,Meat,0.88,1,3,329.81,255.01,104,24,medium,winter,8.5,3
200010,Potato,Vegetables,0.8,6,13,33.03,19.87,208,25,low,summer,18.3,13
200011,Carrot,Vegetables,0.73,6,8,40.28,27.15,303,48,low,rainy,12.7,8
200012,Paneer,Dairy,0.68,4,2,119.64,76.98,77,68,high,winter,9.6,2
200013,Bread,Bakery,0.83,1,2,40.63,26.25,112,85,high,winter,8.1,2
200014,Minced Meat,Meat,0.88,1,4,307.03,239.76,70,31,medium,winter,9.6,4
200015,Fish Fillet,Meat,0.82,2,2,325.06,265.87,176,33,low,winter,16.7,2
200016,Tomato,Vegetables,0.8,3,4,37.43,22.8,304,68,medium,winter,6.9,4
200017,Apple,Fruits,0.64,8,4,137.46,111.61,115,34,medium,rainy,14.1,4
200018,Yogurt,Dairy,0.8,2,6,73.68,45.78,81,29,medium,summer,4.8,6
200019,Carrot,Vegetables,0.68,12,1,43.34,28.91,245,27,low,winter,27.8,1
200020,Sausage,Meat,0.62,8,3,180.02,147.6,142,25,low,rainy,12.8,3
200021,Muffin,Bakery,0.94,2,2,32.22,21.48,118,66,high,rainy,7.4,2
200022,Bun,Bakery,0.91,0,3,26.16,20.51,113,50,medium,rainy,6.6,3
200023,Apple,Fruits,0.56,9,3,152.19,109.07,261,72,medium,winter,8.9,3
200024,Chicken Breast,Meat,0.84,2,2,276.72,214.23,113,9,low,rainy,21.9,2
200025,Grapes,Fruits,0.58,4,2,119.6,81.3,173,60,medium,summer,17.5,2
200026,Milk,Dairy,0.79,3,3,60.92,46.61,78,79,high,rainy,4.0,3
200027,Cucumber,Vegetables,0.76,5,3,36.88,27.52,222,43,low,winter,16.0,3
200028,Butter,Dairy,0.51,13,18,95.59,71.56,101,45,medium,summer,9.1,18
200029,Paneer,Dairy,0.85,0,7,128.44,81.23,242,48,low,summer,10.9,7
200030,Muffin,Bakery,0.91,2,3,37.96,29.05,162,63,medium,winter,6.7,3
200031,Potato,Vegetables,0.58,16,4,33.83,25.53,179,67,medium,winter,6.6,4
200032,Apple,Fruits,0.5,9,3,134.85,83.9,310,30,low,summer,28.4,3
200033,Bread,Bakery,0.95,1,2,45.39,33.76,81,48,high,winter,8.0,2
200034,Apple,Fruits,0.65,7,5,151.32,100.5,102,70,high,rainy,0.0,5
200035,Minced Meat,Meat,0.88,2,3,282.3,192.22,59,31,high,winter,2.8,3
200036,Apple,Fruits,0.69,5,7,137.39,88.11,205,71,medium,summer,6.4,7
200037,Muffin,Bakery,0.99,0,4,33.65,21.29,126,45,medium,winter,8.0,4
200038,Milk,Dairy,0.7,3,3,53.46,33.1,221,41,low,summer,18.2,3
200039,Carrot,Vegetables,0.79,8,7,38.67,30.93,241,17,low,rainy,19.4,7
200040,Tomato,Vegetables,0.83,2,6,36.71,25.39,183,38,low,rainy,8.1,6
200041,Papaya,Fruits,0.87,1,5,85.52,58.51,269,38,low,winter,14.6,5
200042,Croissant,Bakery,0.89,1,2,60.32,40.67,242,96,medium,summer,8.3,2
200043,Orange,Fruits,0.67,6,5,90.29,65.22,300,29,low,winter,18.7,5
200044,Spinach,Vegetables,0.92,0,4,29.52,23.66,269,76,medium,rainy,10.5,4
200045,Spinach,Vegetables,0.75,3,1,27.98,17.55,218,18,low,rainy,27.3,1
200046,Fish Fillet,Meat,0.88,2,1,314.75,221.35,117,45,medium,rainy,9.6,1
200047,Cake,Bakery,0.76,3,1,263.5,207.84,117,67,high,summer,10.4,1
200048,Minced Meat,Meat,0.92,0,4,278.87,216.13,138,40,medium,summer,8.6,4
200049,Carrot,Vegetables,0.69,10,5,40.22,27.6,123,19,low,winter,17.6,5
200050,Carrot,Vegetables,0.79,2,11,40.09,28.63,266,62,medium,summer,4.0,11
200051,Tomato,Vegetables,0.92,1,8,32.61,25.04,174,55,medium,summer,3.4,8
200052,Tomato,Vegetables,0.63,6,3,33.78,26.89,205,32,low,summer,18.1,3
200053,Banana,Fruits,0.75,3,2,53.58,32.37,144,38,medium,rainy,14.4,2
200054,Yogurt,Dairy,0.79,2,7,65.03,42.37,171,52,medium,rainy,1.5,7
200055,Apple,Fruits,0.64,7,4,147.02,109.06,131,18,low,rainy,23.9,4
200056,Papaya,Fruits,0.62,4,1,81.81,65.4,88,34,medium,rainy,16.2,1
200057,Butter,Dairy,0.59,12,18,92.24,60.18,310,62,low,summer,20.2,18
200058,Sausage,Meat,0.74,4,7,174.08,124.08,84,26,medium,rainy,7.7,7
200059,Grapes,Fruits,0.93,0,7,127.72,88.41,166,53,medium,winter,0.0,7
200060,Potato,Vegetables,0.72,9,10,32.38,20.35,304,55,low,rainy,14.0,10
200061,Orange,Fruits,0.91,1,10,89.33,71.98,262,27,low,rainy,21.7,10
200062,Yogurt,Dairy,0.59,5,4,70.75,57.12,153,53,medium,rainy,10.8,4
200063,Grapes,Fruits,0.95,0,7,137.83,104.5,293,34,low,rainy,16.1,7
200064,Banana,Fruits,0.9,0,6,54.86,37.86,82,46,high,summer,0.0,6
200065,Butter,Dairy,0.69,11,19,98.64,78.35,95,28,medium,rainy,4.9,19
200066,Cake,Bakery,0.93,2,4,256.0,156.16,161,73,medium,winter,5.3,4
200067,Cheese,Dairy,0.46,11,9,227.53,152.01,285,22,low,rainy,23.6,9
200068,Chicken Breast,Meat,0.88,0,5,265.07,173.81,129,8,low,summer,17.7,5
200069,Banana,Fruits,0.58,5,1,55.46,43.92,170,36,low,winter,16.7,1
200070,Grapes,Fruits,0.73,3,5,125.45,86.78,223,75,medium,winter,3.0,5
200071,Banana,Fruits,0.6,5,1,60.25,47.73,127,76,high,rainy,12.0,1
200072,Sausage,Meat,0.56,7,2,187.93,117.18,141,33,medium,summer,19.7,2
200073,Potato,Vegetables,0.78,6,14,33.87,21.49,220,44,low,rainy,11.0,14
200074,Croissant,Bakery,0.92,1,2,53.87,37.63,176,27,low,winter,23.7,2
200075,Yogurt,Dairy,0.53,6,3,68.25,55.93,213,23,low,rainy,13.7,3
200076,Spinach,Vegetables,0.9,1,3,26.01,20.5,272,79,medium,winter,5.0,3
200077,Bread,Bakery,0.99,0,4,40.5,28.73,153,77,high,winter,2.9,4
200078,Paneer,Dairy,0.88,0,7,124.39,88.39,300,53,low,summer,12.3,7
200079,Tomato,Vegetables,0.64,7,2,35.78,21.8,168,76,medium,rainy,17.7,2
200080,Orange,Fruits,0.75,3,6,87.48,70.54,266,50,low,summer,12.5,6
200081,Mutton,Meat,0.86,3,4,686.69,479.73,77,38,medium,rainy,5.8,4
200082,Mutton,Meat,0.81,4,4,771.09,480.22,50,36,high,winter,2.5,4
200083,Tomato,Vegetables,0.54,7,2,37.92,25.78,248,27,low,winter,30.1,2
200084,Croissant,Bakery,0.85,1,2,59.82,44.1,234,65,medium,summer,10.7,2
200085,Grapes,Fruits,0.94,1,7,130.74,107.03,281,69,medium,winter,0.0,7
200086,Carrot,Vegetables,0.63,12,1,36.95,26.43,226,51,medium,summer,17.1,1
200087,Fish Fillet,Meat,0.85,2,1,322.7,219.81,85,26,medium,summer,12.1,1
200088,Tomato,Vegetables,0.86,1,6,33.51,23.51,308,34,low,summer,13.3,6
200089,Cake,Bakery,0.77,4,1,251.01,173.51,215,61,medium,winter,13.9,1
200090,Spinach,Vegetables,0.9,1,3,29.87,21.43,315,61,low,summer,16.3,3
200091,Butter,Dairy,0.88,3,28,97.68,75.58,119,74,high,rainy,0.0,28
200092,Spinach,Vegetables,0.93,0,4,26.1,17.11,226,80,medium,summer,5.4,4
200093,Cake,Bakery,0.74,4,1,265.31,209.46,106,57,high,summer,11.1,1
