product_id,product_name,product_category,days_since_arrival,storage_type,storage_condition,packaging_type,display_type,is_damaged,weather_condition,product_sensitivity,freshness_score
100001,Tomato,Vegetables,6,fridge,good,sealed,fridge,no,normal,medium,0.78
100002,Milk,Dairy,7,fridge,good,sealed,fridge,no,normal,high,0.53
100003,Papaya,Fruits,4,room_temp,average,open,open_shelf,no,hot,high,0.53
100004,Chicken Breast,Meat,2,freezer,good,sealed,freezer,no,normal,high,0.88
100005,Potato,Vegetables,10,room_temp,average,open,open_shelf,no,hot,low,0.5
100006,Orange,Fruits,7,room_temp,average,open,open_shelf,no,hot,medium,0.61
100007,Orange,Fruits,2,room_temp,average,sealed,open_shelf,no,normal,medium,0.85
100008,Papaya,Fruits,11,room_temp,good,open,fridge,no,normal,high,0.11
100009,Paneer,Dairy,4,fridge,good,sealed,fridge,yes,normal,high,0.6
100010,Banana,Fruits,11,room_temp,good,open,open_shelf,no,cold,high,0.23
100011,Butter,Dairy,8,fridge,good,sealed,fridge,no,normal,low,0.87
100012,Butter,Dairy,9,fridge,good,sealed,fridge,yes,normal,low,0.61
100013,Paneer,Dairy,2,fridge,average,sealed,fridge,no,hot,high,0.73
100014,Fish Fillet,Meat,0,freezer,average,sealed,freezer,no,cold,high,0.93
100015,Carrot,Vegetables,2,fridge,average,open,fridge,no,hot,low,0.86
100016,Cheese,Dairy,8,fridge,average,sealed,fridge,no,cold,medium,0.67
100017,Butter,Dairy,6,fridge,poor,sealed,fridge,no,cold,low,0.67
100018,Paneer,Dairy,9,fridge,good,sealed,fridge,no,hot,high,0.3
100019,Orange,Fruits,4,room_temp,good,sealed,open_shelf,no,hot,medium,0.78
100020,Apple,Fruits,11,room_temp,good,sealed,open_shelf,no,hot,medium,0.54
100021,Cucumber,Vegetables,6,fridge,poor,open,open_shelf,no,hot,medium,0.47
100022,Butter,Dairy,2,fridge,good,sealed,fridge,no,normal,low,0.98
100023,Cheese,Dairy,0,fridge,good,sealed,fridge,no,hot,medium,0.96
100024,Tomato,Vegetables,1,fridge,average,open,fridge,no,cold,medium,0.84
100025,Cake,Bakery,5,room_temp,good,open,open_shelf,yes,hot,medium,0.61
100026,Minced Meat,Meat,5,freezer,average,sealed,open_shelf,no,normal,high,0.6
100027,Yogurt,Dairy,1,fridge,good,sealed,open_shelf,no,normal,high,0.87
100028,Cucumber,Vegetables,7,fridge,poor,sealed,fridge,no,hot,medium,0.55
100029,Paneer,Dairy,6,fridge,good,sealed,fridge,no,normal,high,0.6
100030,Cake,Bakery,4,room_temp,good,sealed,open_shelf,yes,cold,medium,0.7
100031,Paneer,Dairy,1,fridge,poor,sealed,fridge,no,cold,high,0.83
100032,Cake,Bakery,0,room_temp,good,open,open_shelf,no,hot,medium,0.93
100033,Muffin,Bakery,3,room_temp,good,open,freezer,no,hot,medium,0.68
100034,Cheese,Dairy,0,fridge,average,sealed,fridge,yes,cold,medium,0.77
100035,Butter,Dairy,8,fridge,good,sealed,fridge,yes,hot,low,0.65
100036,Potato,Vegetables,2,fridge,good,open,fridge,no,normal,low,0.97
100037,Potato,Vegetables,2,fridge,good,open,open_shelf,yes,hot,low,0.64
100038,Apple,Fruits,6,room_temp,good,open,freezer,yes,hot,medium,0.42
100039,Yogurt,Dairy,8,fridge,good,sealed,fridge,yes,cold,high,0.34
100040,Cake,Bakery,5,room_temp,average,open,open_shelf,no,normal,medium,0.74
100041,Banana,Fruits,7,room_temp,average,open,open_shelf,no,normal,high,0.43
100042,Cucumber,Vegetables,5,fridge,good,open,fridge,yes,hot,medium,0.59
100043,Spinach,Vegetables,10,fridge,good,open,fridge,no,hot,high,0.11
100044,Chicken Breast,Meat,6,freezer,average,sealed,open_shelf,no,hot,high,0.46
100045,Orange,Fruits,2,room_temp,average,sealed,open_shelf,no,hot,medium,0.81
100046,Sausage,Meat,6,freezer,good,sealed,freezer,yes,normal,medium,0.65
100047,Papaya,Fruits,6,room_temp,good,sealed,open_shelf,no,normal,high,0.59
100048,Sausage,Meat,2,freezer,poor,sealed,freezer,no,normal,medium,0.74
100049,Spinach,Vegetables,6,fridge,poor,sealed,fridge,no,hot,high,0.4
100050,Croissant,Bakery,3,room_temp,good,open,fridge,no,hot,medium,0.69
100051,Tomato,Vegetables,4,fridge,average,open,fridge,no,normal,medium,0.74
100052,Cucumber,Vegetables,10,fridge,average,open,freezer,yes,normal,medium,0.24
100053,Bun,Bakery,4,room_temp,average,open,open_shelf,no,normal,medium,0.73
100054,Banana,Fruits,1,room_temp,good,open,open_shelf,no,normal,high,0.89
100055,Orange,Fruits,9,room_temp,good,sealed,fridge,no,hot,medium,0.56
100056,Papaya,Fruits,5,room_temp,good,open,open_shelf,yes,hot,high,0.38
100057,Croissant,Bakery,3,room_temp,good,open,freezer,no,normal,medium,0.76
100058,Cucumber,Vegetables,10,fridge,good,sealed,fridge,no,normal,medium,0.66
100059,Minced Meat,Meat,7,freezer,poor,sealed,open_shelf,no,normal,high,0.35
100060,Butter,Dairy,8,fridge,good,sealed,fridge,no,hot,low,0.81
100061,Minced Meat,Meat,2,freezer,poor,sealed,open_shelf,no,normal,high,0.67
100062,Cheese,Dairy,8,fridge,good,sealed,fridge,no,hot,medium,0.65
100063,Croissant,Bakery,2,room_temp,good,open,fridge,no,hot,medium,0.75
100064,Tomato,Vegetables,8,fridge,good,sealed,open_shelf,no,cold,medium,0.65
100065,Banana,Fruits,4,fridge,good,open,fridge,no,cold,high,0.49
100066,Fish Fillet,Meat,7,freezer,average,sealed,freezer,no,normal,high,0.47
100067,Potato,Vegetables,10,fridge,average,open,fridge,no,cold,low,0.75
100068,Papaya,Fruits,8,room_temp,good,open,open_shelf,no,cold,high,0.37
100069,Grapes,Fruits,3,room_temp,good,open,open_shelf,no,hot,high,0.71
100070,Cheese,Dairy,3,fridge,average,sealed,fridge,no,cold,medium,0.82
100071,Butter,Dairy,6,fridge,average,sealed,fridge,no,normal,low,0.77
100072,Yogurt,Dairy,0,fridge,good,sealed,fridge,no,normal,high,0.99
100073,Croissant,Bakery,0,room_temp,average,open,open_shelf,no,normal,medium,0.88
100074,Mutton,Meat,7,freezer,average,sealed,freezer,no,normal,medium,0.68
100075,Cake,Bakery,0,room_temp,good,open,open_shelf,no,hot,medium,0.94
100076,Bun,Bakery,4,room_temp,good,open,fridge,no,cold,medium,0.79
100077,Milk,Dairy,9,fridge,good,sealed,fridge,no,normal,high,0.39
100078,Banana,Fruits,10,room_temp,average,open,open_shelf,no,normal,high,0.2
100079,Cucumber,Vegetables,0,fridge,good,open,open_shelf,yes,hot,medium,0.62
100080,Milk,Dairy,3,fridge,good,sealed,fridge,no,normal,high,0.85
100081,Banana,Fruits,1,room_temp,good,open,open_shelf,no,normal,high,0.92
100082,Carrot,Vegetables,0,fridge,good,open,freezer,no,hot,low,0.93
100083,Papaya,Fruits,8,room_temp,good,open,open_shelf,no,normal,high,0.38
100084,Papaya,Fruits,2,freezer,average,open,freezer,no,cold,high,0.59
100085,Tomato,Vegetables,3,fridge,average,sealed,fridge,no,normal,medium,0.8
100086,Cake,Bakery,1,room_temp,good,open,open_shelf,no,hot,medium,0.85
100087,Butter,Dairy,2,fridge,good,sealed,freezer,no,normal,low,0.88
100088,Orange,Fruits,6,room_temp,average,open,open_shelf,no,normal,medium,0.71
100089,Paneer,Dairy,3,fridge,average,sealed,open_shelf,no,normal,high,0.66
100090,Bun,Bakery,1,room_temp,good,open,open_shelf,no,hot,medium,0.88
100091,Banana,Fruits,7,room_temp,poor,open,fridge,no,normal,high,0.22
100092,Spinach,Vegetables,8,fridge,good,open,fridge,no,normal,high,0.38
100093,Mutton,Meat,1,freezer,good,sealed,freezer,yes,normal,medium,0.81
100094,Muffin,Bakery,1,room_temp,average,open,open_shelf,no,hot,medium,0.76
100095,Minced Meat,Meat,7,freezer,good,sealed,fridge,no,hot,high,0.48
100096,Chicken Breast,Meat,1,freezer,good,sealed,freezer,yes,normal,high,0.83
100097,Carrot,Vegetables,0,fridge,good,open,open_shelf,no,normal,low,0.92
100098,Potato,Vegetables,8,freezer,good,open,freezer,yes,hot,low,0.44
100099,Chicken Breast,Meat,0,freezer,average,sealed,freezer,no,normal,high,0.96
100100,Sausage,Meat,2,fridge,good,sealed,fridge,no,hot,medium,0.65
100101,Bread,Bakery,3,room_temp,average,sealed,open_shelf,no,hot,medium,0.77
100102,Cucumber,Vegetables,7,fridge,good,sealed,fridge,no,normal,medium,0.76
100103,Carrot,Vegetables,3,fridge,good,sealed,fridge,yes,normal,low,0.78
100104,Butter,Dairy,2,fridge,poor,sealed,fridge,no,normal,low,0.82
100105,Grapes,Fruits,8,room_temp,good,open,open_shelf,no,hot,high,0.43
100106,Bun,Bakery,5,room_temp,good,open,open_shelf,no,cold,medium,0.77
100107,Banana,Fruits,2,room_temp,good,open,open_shelf,no,normal,high,0.82
100108,Bread,Bakery,0,room_temp,average,open,open_shelf,no,hot,medium,0.85
100109,Mutton,Meat,3,freezer,average,sealed,freezer,no,hot,medium,0.75
100110,Butter,Dairy,3,fridge,good,sealed,freezer,no,hot,low,0.81
100111,Mutton,Meat,7,freezer,average,sealed,freezer,no,normal,medium,0.71
100112,Chicken Breast,Meat,0,freezer,good,sealed,open_shelf,no,normal,high,0.93
100113,Spinach,Vegetables,0,fridge,good,sealed,fridge,yes,hot,high,0.75
100114,Butter,Dairy,5,fridge,good,sealed,fridge,yes,hot,low,0.78
100115,Tomato,Vegetables,6,fridge,good,open,open_shelf,no,normal,medium,0.68
100116,Carrot,Vegetables,5,fridge,average,open,open_shelf,no,normal,low,0.7
100117,Butter,Dairy,2,fridge,average,sealed,fridge,no,cold,low,0.91
100118,Grapes,Fruits,1,room_temp,poor,open,open_shelf,no,normal,high,0.76
100119,Bread,Bakery,4,room_temp,good,open,fridge,no,hot,medium,0.75
100120,Muffin,Bakery,0,room_temp,average,open,freezer,no,normal,medium,0.81
100121,Milk,Dairy,4,fridge,good,sealed,fridge,no,hot,high,0.65
100122,Butter,Dairy,3,fridge,average,sealed,open_shelf,no,hot,low,0.73
100123,Cucumber,Vegetables,2,room_temp,good,open,open_shelf,no,normal,medium,0.69
100124,Potato,Vegetables,4,freezer,good,sealed,freezer,no,normal,low,0.73
100125,Papaya,Fruits,5,room_temp,good,open,fridge,no,normal,high,0.54
100126,Mutton,Meat,4,freezer,average,sealed,open_shelf,no,normal,medium,0.73
100127,Orange,Fruits,2,room_temp,good,sealed,open_shelf,no,hot,medium,0.85
100128,Cheese,Dairy,0,fridge,good,sealed,fridge,no,hot,medium,0.93
100129,Grapes,Fruits,2,room_temp,average,open,open_shelf,no,hot,high,0.7
100130,Carrot,Vegetables,5,fridge,good,open,fridge,no,normal,low,0.86
100131,Cucumber,Vegetables,9,fridge,average,sealed,freezer,no,hot,medium,0.49
100132,Fish Fillet,Meat,6,freezer,good,sealed,freezer,no,hot,high,0.47
100133,Chicken Breast,Meat,1,freezer,good,sealed,freezer,no,hot,high,0.83
100134,Papaya,Fruits,9,room_temp,average,sealed,open_shelf,no,normal,high,0.27
100135,Papaya,Fruits,0,room_temp,good,open,open_shelf,no,normal,high,0.97
100136,Spinach,Vegetables,9,room_temp,poor,sealed,fridge,no,normal,high,0.12
100137,Apple,Fruits,6,freezer,good,open,freezer,no,cold,medium,0.53
100138,Milk,Dairy,7,fridge,good,sealed,fridge,no,normal,high,0.5
100139,Spinach,Vegetables,11,fridge,good,sealed,fridge,no,cold,high,0.25
100140,Milk,Dairy,3,fridge,good,sealed,fridge,no,hot,high,0.82
100141,Banana,Fruits,0,fridge,good,sealed,fridge,yes,normal,high,0.62
100142,Milk,Dairy,2,fridge,good,sealed,open_shelf,no,hot,high,0.7
100143,Minced Meat,Meat,6,freezer,good,sealed,open_shelf,yes,normal,high,0.41
100144,Muffin,Bakery,5,room_temp,average,sealed,open_shelf,no,hot,medium,0.68
100145,Spinach,Vegetables,2,fridge,good,open,fridge,yes,hot,high,0.64
100146,Potato,Vegetables,5,fridge,good,open,fridge,no,normal,low,0.84
100147,Grapes,Fruits,9,room_temp,poor,open,freezer,yes,hot,high,0.05
100148,Tomato,Vegetables,9,fridge,good,open,fridge,no,hot,medium,0.6
100149,Orange,Fruits,5,room_temp,good,open,open_shelf,no,normal,medium,0.79
100150,Papaya,Fruits,4,room_temp,good,open,open_shelf,yes,normal,high,0.47
100151,Papaya,Fruits,0,room_temp,good,open,open_shelf,no,normal,high,0.95
100152,Croissant,Bakery,3,room_temp,average,sealed,fridge,no,normal,medium,0.76
100153,Yogurt,Dairy,4,fridge,good,sealed,fridge,no,normal,high,0.81
100154,Spinach,Vegetables,3,fridge,good,open,fridge,no,normal,high,0.77
100155,Bun,Bakery,5,freezer,average,open,fridge,no,normal,medium,0.57
100156,Grapes,Fruits,3,room_temp,good,open,open_shelf,no,normal,high,0.81
100157,Potato,Vegetables,1,fridge,average,open,fridge,no,cold,low,0.87
100158,Tomato,Vegetables,0,fridge,good,sealed,fridge,no,normal,medium,0.99
100159,Bread,Bakery,2,room_temp,good,open,open_shelf,no,hot,medium,0.81
100160,Muffin,Bakery,4,room_temp,good,open,open_shelf,no,cold,medium,0.84
100161,Carrot,Vegetables,9,fridge,good,open,fridge,no,hot,low,0.76
100162,Croissant,Bakery,1,room_temp,good,open,open_shelf,no,normal,medium,0.97
100163,Butter,Dairy,9,fridge,good,sealed,fridge,no,normal,low,0.82
100164,Carrot,Vegetables,5,fridge,good,open,fridge,yes,normal,low,0.69
100165,Sausage,Meat,7,freezer,good,sealed,freezer,yes,hot,medium,0.52
100166,Milk,Dairy,4,fridge,average,sealed,open_shelf,no,hot,high,0.56
100167,Paneer,Dairy,5,fridge,average,sealed,freezer,yes,normal,high,0.31
100168,Yogurt,Dairy,5,room_temp,good,sealed,fridge,yes,hot,high,0.34
100169,Grapes,Fruits,8,room_temp,good,sealed,open_shelf,no,normal,high,0.54
100170,Muffin,Bakery,0,room_temp,average,open,open_shelf,no,hot,medium,0.82
100171,Fish Fillet,Meat,5,freezer,good,sealed,freezer,no,normal,high,0.68
100172,Croissant,Bakery,3,room_temp,good,open,open_shelf,no,normal,medium,0.87
100173,Spinach,Vegetables,9,fridge,good,open,fridge,no,normal,high,0.34
100174,Carrot,Vegetables,3,fridge,good,open,fridge,no,normal,low,0.94
100175,Grapes,Fruits,0,room_temp,good,sealed,open_shelf,no,hot,high,0.96
100176,Cheese,Dairy,9,fridge,average,sealed,fridge,no,normal,medium,0.6
100177,Papaya,Fruits,9,room_temp,average,open,open_shelf,no,cold,high,0.28
100178,Yogurt,Dairy,7,fridge,good,sealed,fridge,no,normal,high,0.63
100179,Muffin,Bakery,4,room_temp,average,open,open_shelf,no,normal,medium,0.77
100180,Cheese,Dairy,6,fridge,good,sealed,fridge,no,hot,medium,0.77
100181,Spinach,Vegetables,1,fridge,poor,sealed,fridge,no,normal,high,0.78
100182,Potato,Vegetables,10,fridge,average,sealed,fridge,no,normal,low,0.73
100183,Papaya,Fruits,3,room_temp,good,open,open_shelf,no,hot,high,0.64
100184,Yogurt,Dairy,0,fridge,poor,sealed,fridge,no,hot,high,0.77
100185,Yogurt,Dairy,0,fridge,good,sealed,fridge,no,normal,high,0.99
100186,Paneer,Dairy,2,fridge,average,sealed,fridge,no,normal,high,0.83
100187,Bread,Bakery,0,room_temp,poor,open,open_shelf,no,hot,medium,0.74
100188,Croissant,Bakery,0,room_temp,poor,open,open_shelf,no,hot,medium,0.71
100189,Grapes,Fruits,9,room_temp,good,sealed,open_shelf,yes,normal,high,0.35
100190,Orange,Fruits,9,room_temp,good,sealed,open_shelf,no,hot,medium,0.61
100191,Croissant,Bakery,5,room_temp,poor,open,freezer,no,hot,medium,0.46
100192,Bun,Bakery,3,room_temp,good,open,open_shelf,no,normal,medium,0.88
100193,Butter,Dairy,9,fridge,average,sealed,fridge,no,hot,low,0.75
100194,Cheese,Dairy,7,fridge,average,sealed,fridge,no,hot,medium,0.66
100195,Tomato,Vegetables,3,fridge,good,open,fridge,no,hot,medium,0.81
100196,Cheese,Dairy,3,fridge,good,sealed,freezer,no,normal,medium,0.81
100197,Tomato,Vegetables,9,room_temp,average,open,fridge,no,cold,medium,0.52
100198,Grapes,Fruits,2,room_temp,average,sealed,fridge,no,normal,high,0.69
100199,Apple,Fruits,0,room_temp,average,open,open_shelf,no,normal,medium,0.87
100200,Butter,Dairy,0,fridge,average,sealed,fridge,no,hot,low,0.92
100201,Cucumber,Vegetables,6,fridge,good,open,fridge,no,cold,medium,0.8
100202,Milk,Dairy,4,fridge,good,sealed,fridge,no,normal,high,0.75
100203,Tomato,Vegetables,11,fridge,good,open,fridge,no,cold,medium,0.63
100204,Cucumber,Vegetables,8,fridge,good,open,fridge,no,normal,medium,0.67
100205,Yogurt,Dairy,2,fridge,good,sealed,freezer,no,normal,high,0.84
100206,Minced Meat,Meat,5,freezer,good,sealed,freezer,no,hot,high,0.64
100207,Minced Meat,Meat,4,freezer,good,sealed,fridge,no,hot,high,0.6
100208,Bread,Bakery,3,room_temp,good,open,open_shelf,yes,normal,medium,0.7
100209,Paneer,Dairy,8,fridge,good,sealed,fridge,no,hot,high,0.34
100210,Cheese,Dairy,3,fridge,good,sealed,fridge,no,cold,medium,0.92
100211,Grapes,Fruits,2,room_temp,good,open,open_shelf,yes,hot,high,0.56
100212,Cucumber,Vegetables,4,fridge,average,sealed,fridge,no,cold,medium,0.81
100213,Butter,Dairy,2,fridge,good,sealed,open_shelf,no,hot,low,0.89
100214,Papaya,Fruits,4,room_temp,poor,sealed,open_shelf,no,cold,high,0.64
100215,Bun,Bakery,3,room_temp,average,open,open_shelf,no,hot,medium,0.77
100216,Banana,Fruits,11,room_temp,average,open,open_shelf,no,normal,high,0.12
100217,Yogurt,Dairy,8,fridge,poor,sealed,fridge,no,hot,high,0.32
100218,Papaya,Fruits,5,room_temp,good,open,open_shelf,no,hot,high,0.57
100219,Papaya,Fruits,6,room_temp,average,open,open_shelf,yes,normal,high,0.26
